epoch	hours	top1Accuracy	top5Accuracy
1	0.045701	8.12402	21.69
2	0.091402	17.966	38.566
3	0.132895	26.14	50.794
4	0.173029	33.962	59.738
5	0.213101	34.754	60.518
6	0.248425	37.52	63.7759
7	0.288716	37.46	64.0419
8	0.329019	36.562	62.83
9	0.369216	38.176	64.9299
10	0.409253	43.752	70.4279
11	0.445179	40.898	67.1419
12	0.486019	46.316	73.144
13	0.527959	44.808	70.9379
14	0.570224	46.084	71.7779
15	0.610614	44.064	70.1279
16	0.646435	45.934	72.382
17	0.708098	46.128	72.504
18	0.755479	42.82	69.1759
19	0.797799	45.86	71.634
20	0.838017	44.656	71.2219
21	0.874083	47.21	73
22	0.915312	47.83	73.914
23	0.955544	46.192	72.788
24	0.996083	47.838	73.468
25	1.036456	48.36	74.268
26	1.07848	45.98	72.122
27	1.120853	45.968	72.192
28	1.161255	47.436	74.106
29	1.201659	48.22	74.924
30	1.241589	47.676	73.788
31	1.276812	66.9819	87.9822
32	1.317298	67.9459	88.4582
33	1.358019	68.5019	88.8722
34	1.398711	68.4619	88.6822
35	1.439536	68.5019	88.9522
36	1.475138	69.3579	89.3642
37	1.516029	67.9179	88.5882
38	1.556825	69.2719	89.2242
39	1.597521	68.6839	89.0222
40	1.638143	68.7479	88.7942
41	1.673534	68.7039	89.1162
42	1.713892	68.2819	88.7942
43	1.754502	67.8379	88.6202
44	1.795192	68.0079	88.7182
45	1.835941	68.1999	88.9502
46	1.871475	63.5579	85.6502
47	1.912413	67.8099	88.3782
48	1.953077	67.2079	88.3502
49	1.993725	67.9179	88.6102
50	2.034283	67.5759	88.3942
51	2.069983	67.7539	88.3342
52	2.11143	68.1579	88.7502
53	2.152653	67.9279	88.6222
54	2.197899	67.5419	88.5602
55	2.239298	67.8159	88.5642
56	2.275341	67.0019	88.0562
57	2.316644	68.5919	88.9002
58	2.357787	66.3319	87.6182
59	2.398208	67.3199	88.1682
60	2.438906	68.5099	88.9342
61	2.474718	73.898	91.9062
62	2.515251	74.382	91.9942
63	2.555904	74.714	92.1342
64	2.596695	74.688	92.3582
65	2.637346	74.792	92.2402
66	2.673068	74.996	92.4242
67	2.714011	75	92.4402
68	2.754574	75.094	92.4282
69	2.795207	75.154	92.4242
70	2.835967	75.14	92.4802
71	2.871577	75.274	92.5922
72	2.912168	75.23	92.5742
73	2.953145	75.162	92.6362
74	2.993649	75.342	92.6602
75	3.034215	75.422	92.6502
76	3.070037	75.452	92.6582
77	3.110736	75.502	92.7182
78	3.151607	75.496	92.6422
79	3.192379	75.3	92.7342
80	3.233172	75.486	92.7262
81	3.268836	75.946	92.9342
82	3.309423	76.038	92.9902
83	3.3502	76.046	92.9942
84	3.390948	76.086	92.9722
85	3.431735	76.148	93.0202
