epoch	hours	top1Accuracy	top5Accuracy
1	0.130942	8.45602	21.428
2	0.216796	21.122	44.818
3	0.288783	29.656	55.048
4	0.365091	36.002	62.8259
5	0.441509	38.696	65.5579
6	0.513129	41.044	67.4119
7	0.589378	42.06	68.6559
8	0.660877	41.468	68.2719
9	0.737188	42.608	69.6979
10	0.813111	45.9	72.398
11	0.884496	46.894	73.442
12	0.960827	42.51	69.2279
13	1.037264	45.548	72.416
14	1.110287	47.07	73.688
15	1.187222	47.122	73.892
16	1.259348	45.608	72.688
17	1.336534	44.666	71.2899
18	1.413836	47.6	73.614
19	1.486245	47.64	74.012
20	1.563388	47.756	73.814
21	1.640559	46.872	73.414
22	1.712919	46.588	72.69
23	1.790237	47.2	73.378
24	1.862764	50.448	76.37
25	1.940335	49.35	75.832
26	2.017672	49.578	75.646
27	2.091327	50.542	76.526
28	2.168559	49.462	75.306
29	2.245806	50.206	76.4401
30	2.318222	49.6	75.504
31	2.39565	67.4259	88.2442
32	2.46827	68.2679	88.9422
33	2.545633	69.2239	89.2702
34	2.623698	69.4299	89.3702
35	2.695995	69.5239	89.5262
36	2.773278	69.6799	89.6482
37	2.850094	69.534	89.4762
38	2.922225	68.4479	88.8782
39	2.99915	69.1739	89.2842
40	3.072043	69.1059	89.2422
41	3.149379	68.3879	88.7742
42	3.227571	69.4159	89.6122
43	3.299848	69.0319	89.0462
44	3.377118	68.5879	88.8542
45	3.454119	68.7799	88.8402
46	3.526262	68.6419	88.9662
47	3.60356	68.9679	89.3202
48	3.675988	69.0039	89.3082
49	3.752906	68.5139	88.7102
50	3.830025	68.1599	88.7742
51	3.902238	68.5999	88.9122
52	3.979555	67.6739	88.4562
53	4.056711	68.9579	89.1942
54	4.129107	68.5559	89.0642
55	4.206362	68.5079	89.0882
56	4.279178	67.8879	88.7642
57	4.356393	68.3059	88.8582
58	4.433559	67.3219	87.9482
59	4.505942	68.7979	88.9782
60	4.58275	69.0079	89.2942
61	4.659305	73.998	92.0242
62	4.731586	74.35	92.2482
63	4.808468	74.694	92.3682
64	4.880605	74.688	92.4522
65	4.957345	74.93	92.4842
66	5.033871	74.952	92.4962
67	5.105728	75.002	92.5362
68	5.18321	75.31	92.6462
69	5.260033	75.146	92.5862
70	5.333265	75.286	92.5922
71	5.409617	75.266	92.6702
72	5.48271	75.244	92.6602
73	5.559349	75.378	92.6982
74	5.637989	75.32	92.6442
75	5.709796	75.404	92.7082
76	5.786594	75.484	92.7442
77	5.863445	75.48	92.7802
78	5.935809	75.444	92.6842
79	6.012401	75.502	92.8082
80	6.085991	75.574	92.7962
81	6.163689	76.052	93.0482

