epoch	hours	top1Accuracy	top5Accuracy
1	0.033176	8.21402	21.216
2	0.077646	20.484	42.844
3	0.122103	20.87	43.59
4	0.166706	31.798	58.114
5	0.205642	35.282	62.012
6	0.250195	39.248	66.2919
7	0.294541	37.76	63.9539
8	0.338717	40.888	67.3699
9	0.382976	39.792	66.6799
10	0.421529	43.664	70.4359
11	0.466268	44.628	71.0639
12	0.511174	41.676	68.4579
13	0.555421	41.212	68.0199
14	0.5989	45.262	71.752
15	0.637569	42.28	68.4159
16	0.68199	45.082	71.8
17	0.726328	45.016	71.5579
18	0.770813	47.034	73.16
19	0.815295	48.47	74.226
20	0.854214	47.844	74.16
21	0.898293	47.468	74.286
22	0.942874	48.996	74.572
23	0.987181	42.76	69.4579
24	1.031782	45.876	71.9939
25	1.07045	46.568	72.626
26	1.114804	47.596	73.68
27	1.159082	44.924	70.8979
28	1.203778	49.584	75.348
29	1.248047	41.756	67.1639
30	1.287161	46.46	72.56
31	1.331486	66.5779	87.7262
32	1.376179	68.3179	88.7262
33	1.420946	69.1279	89.3582
34	1.465639	69.5379	89.5042
35	1.506972	68.9899	89.0342
36	1.552246	69.7639	89.5362
37	1.596913	69.0759	89.1362
38	1.641443	69.2139	89.1642
39	1.685928	68.3199	88.7422
40	1.726066	68.6139	88.9602
41	1.770661	68.0299	88.6322
42	1.815083	68.4959	88.7442
43	1.859447	67.7359	88.2762
44	1.904221	68.9539	89.0742
45	1.943326	68.6279	88.8202
46	1.987806	68.0459	88.7342
47	2.033235	68.4779	89.1122
48	2.078403	68.3859	88.7562
49	2.123164	67.9339	88.7862
50	2.162405	67.9939	88.4522
51	2.207029	68.3539	88.5322
52	2.252044	67.8179	88.5762
53	2.296857	68.4199	88.8862
54	2.342101	67.8479	88.4702
55	2.381237	69.0399	89.0382
56	2.426388	66.7599	87.8142
57	2.471436	68.2219	88.8242
58	2.516205	68.0059	88.7182
59	2.561149	68.3819	88.6842
60	2.600401	67.9659	88.7882
61	2.644943	74.206	92.0042
62	2.690012	74.764	92.2382
63	2.734557	74.94	92.4022
64	2.779648	75.086	92.4302
65	2.824646	75.15	92.5462
66	2.871013	75.434	92.6002
67	2.915833	75.402	92.5922
68	2.961133	75.588	92.7422
69	3.006282	75.658	92.7862
70	3.04784	75.644	92.7602
71	3.0929	75.834	92.8302
72	3.137556	75.658	92.7842
73	3.18229	75.696	92.8462
74	3.226914	75.684	92.7602
75	3.266145	75.92	92.9402
76	3.310299	75.912	92.9682
77	3.355095	75.9	92.8822
78	3.400376	75.802	92.8162
79	3.445566	76.032	92.9062
80	3.484981	75.822	92.8622
81	3.529587	76.428	93.1062

